date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Feb 23, 2020",SCY,PC,The City Mile,20200223PAC,https://www.usms.org/comp/meets/meet.php?MeetID=20200223PAC-1YY,10ec7594-b61c-4ef2-a10f-cffd692348a8
"Feb 23, 2020",SCY,MI,Grand Haven Swim Classic 2020,20200223grandY,https://www.usms.org/comp/meets/meet.php?MeetID=20200223grandY,39a1396e-17d2-4532-9565-c46f6f5cd7ef
"Feb 23, 2020",SCY,SP,Inaugural CTSM SCY Swim Meet,20200223CTSMY,https://www.usms.org/comp/meets/meet.php?MeetID=20200223CTSMY,8617d2a7-871a-4ca7-92ed-5a2d4845c34e
"Feb 23, 2020",SCY,PN,WWU Viking Invitational,20200223WWUY,https://www.usms.org/comp/meets/meet.php?MeetID=20200223WWUY,184ee5dc-5c95-40b8-84a8-81c70391e1ea
"Feb 22-23, 2020",SCY,AK,2020 Alaska Masters SCY State Championship,20200222scyakY,https://www.usms.org/comp/meets/meet.php?MeetID=20200222scyakY,7f314657-601a-4642-9f5f-116bf90edb1d
"Feb 22-23, 2020",SCM,IW,February Flurry,20200222FLURRYS,https://www.usms.org/comp/meets/meet.php?MeetID=20200222FLURRYS,08454b27-8c2b-4d03-a239-f1a60869ab51
"Feb 22, 2020",SCY,ST,Alamo Area MASTERS Short course Cup,20200222NisdY,https://www.usms.org/comp/meets/meet.php?MeetID=20200222NisdY,78fb4ae3-519c-4471-a5fd-592bf73e4d01
"Feb 22, 2020",SCY,CT,2020 CT Masters Connecticut State Championship at CPCT,20200222CPCT20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200222CPCT20Y,d55957ad-5892-44a5-8dc2-556ad0e8ef10
"Feb 22, 2020",SCY,PC,Splash & Dash 2020 Sprint Pentathlon,20200222AAA,https://www.usms.org/comp/meets/meet.php?MeetID=20200222AAA-1Y,35844b74-e152-459f-b0d5-d4bdb79e185a
"Feb 22, 2020",SCY,UT,Be My Valentine Invitational,20200222weberY,https://www.usms.org/comp/meets/meet.php?MeetID=20200222weberY,32b68d73-fb4e-4c6b-b85d-3b6a0cd5859b
"Feb 22, 2020",SCY,OH,RRAC Last Chance Meet,20200222RRACLCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200222RRACLCY,092c61ad-0b6b-46e8-b34b-ca43181d3079
"Feb 21-23, 2020",SCY,ND,2020 RRV Mile Meet,20200221520001Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200221520001Y,f7ebe3c9-4c2e-4501-a494-47da66d87e6d
"Feb 21-23, 2020",SCY,AR,2020 Battle for the Belt,2020022320B4BY,https://www.usms.org/comp/meets/meet.php?MeetID=2020022320B4BY,d5082e09-3f06-4322-8535-23397fbd5218
"Feb 20-25, 2020",LCM,,MELBOURNE2020 IGLA Championships,20200225IGLACHL,https://www.usms.org/comp/meets/meet.php?MeetID=20200225IGLACHL,9922ef68-83e2-4ba1-97e0-9986577ab64a
