date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Aug 5, 2023",LCM,MD,Summer Splash 2023,20230805UMBC50L,https://www.usms.org/comp/meets/meet.php?MeetID=20230805UMBC50L,4c7702e7-8dcc-4c6e-8902-0ca142dc68a5
"Aug 5, 2023",LCM,OR,2023 Oregon Masters LCM Association and NW Zone Championship,2023080523ORLCL,https://www.usms.org/comp/meets/meet.php?MeetID=2023080523ORLCL,7b77d597-f267-45b1-8fe9-f31d3f9d3ced
"Aug 2-6, 2023",LCM,FL,2023 U.S. Masters Swimming Summer National Championship,20230802SMRSRQL,https://www.usms.org/comp/meets/meet.php?MeetID=20230802SMRSRQL,df77d9de-79ec-4eb4-9b77-b4ea216391a3
"Jul 30, 2023",LCM,AR,Old School Spirit - Long Course Meters Meet (Outdoor),20230730OSS23L,https://www.usms.org/comp/meets/meet.php?MeetID=20230730OSS23L,7681e289-206e-4068-ac46-25c93920b212
"Jul 29-30, 2023",LCM,KY,46th Annual Lakeside Masters Long Course Invitational,20230729LakInvL,https://www.usms.org/comp/meets/meet.php?MeetID=20230729LakInvL,0b5417c0-2c77-45ab-b409-9a23365c0588
"Jul 29, 2023",LCM,SP,Rose Bowl Masters LCM Swim Meet,20230729ROSEM3L,https://www.usms.org/comp/meets/meet.php?MeetID=20230729ROSEM3L,89742de6-94af-435f-9ab8-b83761da3b77
"Jul 23, 2023",SCY,PN,2023 Washington State Senior Games,20230723WASRGY,https://www.usms.org/comp/meets/meet.php?MeetID=20230723WASRGY,f86e14ff-a601-4ff1-bd34-a7125fddc332
"Jul 22-23, 2023",LCM,ST,South Central LCM Zone Championships,20230722most3L,https://www.usms.org/comp/meets/meet.php?MeetID=20230722most3L,b454d221-4e57-4dfe-9d32-a1e78b7cd3bb
"Jul 21-23, 2023",LCM,PC,Pacific Masters Swimming Long Course Championships,20230721PMLCML,https://www.usms.org/comp/meets/meet.php?MeetID=20230721PMLCML,d272e99d-a1e1-4ed5-9b52-3c579c0c26b3
"Jul 21-23, 2023",LCM,FG,2023 FGC Senior Championships (LCM),20230723FGCSRCL,https://www.usms.org/comp/meets/meet.php?MeetID=20230723FGCSRCL,977709a9-47d1-456c-a26e-05a788084f69
