date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Feb 23, 2020",SCY,PC,The City Mile,20200223PAC,https://www.usms.org/comp/meets/meet.php?MeetID=20200223PAC-1YY,bbe8f216-599d-4971-9bb8-a46286bf614b
"Feb 23, 2020",SCY,MI,Grand Haven Swim Classic 2020,20200223grandY,https://www.usms.org/comp/meets/meet.php?MeetID=20200223grandY,ec2d7d1a-ae60-43d5-8041-1c4e394443a0
"Feb 23, 2020",SCY,SP,Inaugural CTSM SCY Swim Meet,20200223CTSMY,https://www.usms.org/comp/meets/meet.php?MeetID=20200223CTSMY,ea786a14-b5c2-4f08-b8f9-01610626e58b
"Feb 23, 2020",SCY,PN,WWU Viking Invitational,20200223WWUY,https://www.usms.org/comp/meets/meet.php?MeetID=20200223WWUY,310ccf45-d294-487a-9837-312cc0a72bd5
"Feb 22-23, 2020",SCY,AK,2020 Alaska Masters SCY State Championship,20200222scyakY,https://www.usms.org/comp/meets/meet.php?MeetID=20200222scyakY,4ca67e39-185f-4d41-99a6-1ec06e220b09
"Feb 22-23, 2020",SCM,IW,February Flurry,20200222FLURRYS,https://www.usms.org/comp/meets/meet.php?MeetID=20200222FLURRYS,cd23bcb2-8eb3-410a-815a-9412ae6626bc
"Feb 22, 2020",SCY,ST,Alamo Area MASTERS Short course Cup,20200222NisdY,https://www.usms.org/comp/meets/meet.php?MeetID=20200222NisdY,4fd1649a-c6b4-4f36-8833-c9abcf212e48
"Feb 22, 2020",SCY,CT,2020 CT Masters Connecticut State Championship at CPCT,20200222CPCT20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200222CPCT20Y,195e60c0-054e-4423-ba7d-ec6a1dabd602
"Feb 22, 2020",SCY,PC,Splash & Dash 2020 Sprint Pentathlon,20200222AAA,https://www.usms.org/comp/meets/meet.php?MeetID=20200222AAA-1Y,cbeb648e-a131-41ad-ae3a-8fcbb9e83133
"Feb 22, 2020",SCY,UT,Be My Valentine Invitational,20200222weberY,https://www.usms.org/comp/meets/meet.php?MeetID=20200222weberY,829f21d5-6406-407d-87e5-0fa598d7c1d1
